sample,time,RAX_A,RAX_B,RAX_C,RAX_D,RAX_E,RAX_F,RAX_G,RAX_H,Boost_Target,Boost_Error,MAF_Frequency,AFR_O2_WB_ADC,LogEntryDate,LogEntrySeconds,LogNotes,Custom
0,0.075,2156419976,654348800,664928270,1214775358,0,0,0,43,21.2817,0,6.25,7.3125,0,0,0,0
1,0.150,2156419976,336887808,340918445,1214775358,1746685202,624118912,0,336729108,13.9298,0,43.75,7.3125,0,0,0,0
2,0.225,2156419976,320045056,323879086,543686741,1746685202,624118912,12734028,319886099,13.5429,0,37.5,7.3125,0,0,0,0
3,0.300,2156419976,303267840,307101872,543686741,1612729619,624118912,12734028,303043346,13.3494,0,37.5,7.3125,0,0,0,0
4,0.375,2156419976,303202304,307101872,518520917,1612729619,624118912,12734028,303043346,12.9625,0,37.5,7.3125,0,0,0,0
5,0.450,2156419976,286425088,290324657,518520917,1545358611,624118912,12734028,286266129,12.9625,0,37.5,7.3125,0,0,0,0
6,0.525,2156419976,286425088,290455721,501743701,1545358611,624118912,12734028,286200849,12.769,0,37.5,7.3125,0,0,0,0
7,0.600,2156419976,286425088,290455723,501743701,1477987347,624118912,12734028,286200593,12.769,0,37.5,7.3125,0,0,0,0
8,0.675,2156419976,286425088,290455724,501743701,1477987347,624118912,12799564,286200593,12.769,0,37.5,7.3125,0,0,0,0
9,0.750,2156419976,286425088,290193582,501743701,1545030931,624118912,12799564,286200593,12.769,0,37.5,7.3125,0,0,0,0
10,0.825,2156419976,286359552,290324656,501743701,1545030931,624118912,12799564,286200593,12.5756,0,37.5,7.3125,0,0,0,0
11,0.900,2156419976,286359552,290062514,501743701,1544899859,624118912,12734028,269423120,12.5756,0,37.5,7.3125,0,0,0,0
12,0.975,2156419976,269582336,273023156,493355093,1544899859,624118912,12734028,269423120,12.3821,0,37.5,7.3125,0,0,0,0
13,1.050,2156419976,269582336,272892084,493355093,1544572179,624118912,12734028,269357584,12.3821,0,37.5,7.3125,0,0,0,0
14,1.125,2156419976,269582336,272892083,484966485,1544572179,624118912,12799564,269357584,12.3821,0,37.5,7.3125,0,0,0,0
15,1.200,2156419976,269582336,272892084,484966485,1544574483,624118912,12799564,269357584,12.1886,0,37.5,7.3125,0,0,0,0
16,1.275,2156419976,269582336,273023154,476577877,1544574483,624118912,12799564,269357584,12.1886,0,37.5,7.3125,0,0,0,0
17,1.350,2156419976,269582336,273023154,476577877,1477466899,624118912,12799564,269357584,12.1886,0,31.25,7.36237,0,0,0,0
18,1.425,2156419976,269582336,273154224,484966485,1477466899,624118912,12799564,269357584,12.1886,0,31.25,7.3125,0,0,0,0
19,1.500,2156419976,269582336,273154225,484966485,1477467155,624118912,12799564,269357584,12.1886,0,31.25,7.3125,0,0,0,0
20,1.575,2156419976,269582336,273154225,484966485,1477467155,624118912,12799563,269357584,12.1886,0,37.5,7.3125,0,0,0,0
21,1.650,2156419976,269582336,273023154,484966485,1477467411,624118912,12799563,285217296,12.3821,0,37.5,7.36237,0,0,0,0
22,1.725,2156419976,286359552,289931441,476577876,1477467411,624118912,12799563,285217297,12.5756,0,37.5,7.3125,0,0,0,0
23,1.800,2156419976,286359552,289800368,476577876,1544576532,624118912,12799563,285217297,12.5756,0,37.5,7.36237,0,0,0,0
24,1.875,2156419976,269582336,273154223,476577876,1544576532,624118912,12799563,268767760,12.3821,0,37.5,7.3125,0,0,0,0
25,1.950,2156419976,269582336,273154222,476577876,1477467667,607341696,12799563,268505616,12.3821,0,37.5,7.3125,0,0,0,0
26,2.025,2156419976,269582336,273154222,468189268,1477467667,607341696,12799563,268898832,12.1886,0,31.25,7.3125,0,0,0,0
